399 unique permissions found.

0                                                            | 1                              | 2
-------------------------------------------------------------------------------------------------------------------
/bin/bash                                                    | Automation                     | ✅ Allowed
/bin/sh                                                      | Automation                     | ✅ Allowed
/Library/Application Support/org.pqrs/Karabiner-Elements/bin/karabiner_console_user_server | Accessibility                  | ✅ Allowed
/Library/Application Support/org.pqrs/Karabiner-Elements/bin/karabiner_console_user_server | AppBundles                     | ❌ Denied
/Library/Application Support/org.pqrs/Karabiner-Elements/bin/karabiner_console_user_server | Automation                     | ✅ Allowed
/Library/Application Support/org.pqrs/Karabiner-Elements/bin/karabiner_console_user_server | Desktop Folder                 | ✅ Allowed
/Library/Application Support/org.pqrs/Karabiner-Elements/bin/karabiner_grabber | Input Monitoring (Listen)      | ✅ Allowed
/Library/Application Support/org.pqrs/Karabiner-Elements/bin/karabiner_observer | Input Monitoring (Listen)      | ✅ Allowed
/Library/Java/JavaVirtualMachines/jdk-11.0.1.jdk/Contents/Home/bin/java | Desktop Folder                 | ✅ Allowed
/Library/Java/JavaVirtualMachines/jdk-11.0.1.jdk/Contents/Home/bin/javac | Desktop Folder                 | ✅ Allowed
/opt/homebrew/Cellar/yabai/7.1.16/bin/yabai                  | Accessibility                  | ✅ Allowed
/System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd | iCloud Drive                   | ✅ Allowed
/usr/libexec/duetexpertd                                     | iCloud Drive                   | ✅ Allowed
/usr/local/Cellar/watchman/2023.04.24.00/bin/watchman        | Desktop Folder                 | ✅ Allowed
app.monitorcontrol.MonitorControl                            | Accessibility                  | ✅ Allowed
cn.better365.iBar                                            | Accessibility                  | ✅ Allowed
cn.better365.iBar                                            | Input Monitoring               | ✅ Allowed
cn.better365.iBar                                            | Screen Recording               | ✅ Allowed
com.0804Team.KeyClu                                          | Accessibility                  | ✅ Allowed
com.1password.1password                                      | Accessibility                  | ✅ Allowed
com.1password.1password                                      | Screen Recording               | ✅ Allowed
com.1password.1password-installer                            | AppData                        | ❓ Unknown (5)
com.8aev.access                                              | iCloud Drive                   | ✅ Allowed
com.8aev.access                                              | iCloud/CloudKit                | ✅ Allowed
com.adobe.acc.AdobeCreativeCloud                             | Desktop Folder                 | ❌ Denied
com.adobe.Acrobat.Pro                                        | Desktop Folder                 | ✅ Allowed
com.adobe.ARMDC                                              | Full Disk Access               | ❌ Denied
com.adobe.ARMDCHelper                                        | Desktop Folder                 | ❌ Denied
com.adobe.cc.Install                                         | AppData                        | ❓ Unknown (5)
com.adobe.cc.Install                                         | Downloads Folder               | ✅ Allowed
com.adobe.CCXProcess                                         | AppData                        | ❌ Denied
com.adobe.HDUninstaller                                      | AppData                        | ❌ Denied
com.adobe.Photoshop                                          | Desktop Folder                 | ✅ Allowed
com.adobe.Photoshop                                          | Documents Folder               | ✅ Allowed
com.adobe.Photoshop                                          | Downloads Folder               | ✅ Allowed
com.adobe.PremierePro.25                                     | Desktop Folder                 | ✅ Allowed
com.adobe.PremierePro.25                                     | Microphone                     | ✅ Allowed
com.adobe.Reader                                             | Downloads Folder               | ✅ Allowed
com.alexbeals.SpacesRenamer                                  | Automation                     | ✅ Allowed
com.anaconda.io                                              | Desktop Folder                 | ✅ Allowed
com.anaconda.io                                              | Downloads Folder               | ✅ Allowed
com.apple.accessibility.AccessibilityUIServer                | iCloud/CloudKit                | ✅ Allowed
com.apple.accessibility.heard                                | iCloud/CloudKit                | ✅ Allowed
com.apple.aiml.mlpt.FedStats.MLHostPlugin                    | iCloud/CloudKit                | ✅ Allowed
com.apple.amsaccountsd                                       | iCloud/CloudKit                | ✅ Allowed
com.apple.amsengagementd                                     | iCloud/CloudKit                | ✅ Allowed
com.apple.appleaccountd                                      | iCloud/CloudKit                | ✅ Allowed
com.apple.assistant.assistantd                               | iCloud/CloudKit                | ✅ Allowed
com.apple.avatarsd                                           | iCloud/CloudKit                | ✅ Allowed
com.apple.biomesyncd                                         | iCloud/CloudKit                | ✅ Allowed
com.apple.bird                                               | iCloud/CloudKit                | ✅ Allowed
com.apple.bluetoothuserd                                     | iCloud/CloudKit                | ✅ Allowed
com.apple.businessservicesd                                  | iCloud/CloudKit                | ✅ Allowed
com.apple.callhistory.sync-helper                            | iCloud/CloudKit                | ✅ Allowed
com.apple.cloudd                                             | iCloud/CloudKit                | ✅ Allowed
com.apple.CloudDocs.iCloudDriveFileProvider                  | iCloud/CloudKit                | ✅ Allowed
com.apple.CloudDocs.MobileDocumentsFileProvider              | iCloud/CloudKit                | ✅ Allowed
